rgb
"255, 182, 193"
"255, 192, 203"
"220, 20, 60"
"255, 240, 245"
"219, 112, 147"
"255, 105, 180"
"255, 20, 147"
"199, 21, 133"
"218, 112, 214"
"216, 191, 216"
"221, 160, 221"
"238, 130, 238"
"255, 0, 255"
"255, 0, 255"
"139, 0, 139"
"128, 0, 128"
"186, 85, 211"
"148, 0, 211"
"153, 50, 204"
"75, 0, 130"
"138, 43, 226"
"147, 112, 219"
"123, 104, 238"
"106, 90, 205"
"72, 61, 139"
"230, 230, 250"
"248, 248, 255"
"0, 0, 255"
"0, 0, 205"
"25, 25, 112"
"0, 0, 139"
"0, 0, 128"
"65, 105, 225"
"100, 149, 237"
"176, 196, 222"
"119, 136, 153"
"112, 128, 144"
"30, 144, 255"
"240, 248, 255"
"70, 130, 180"
"135, 206, 250"
"135, 206, 235"
"0, 191, 255"
"173, 216, 230"
"176, 224, 230"
"95, 158, 160"
"240, 255, 255"
"225, 255, 255"
"175, 238, 238"
"0, 255, 255"
"212, 242, 231"
"0, 206, 209"
"47, 79, 79"
"0, 139, 139"
"0, 128, 128"
"72, 209, 204"
"32, 178, 170"
"64, 224, 208"
"127, 255, 170"
"0, 250, 154"
"0, 255, 127"
"245, 255, 250"
"60, 179, 113"
"46, 139, 87"
"240, 255, 240"
"144, 238, 144"
"152, 251, 152"
"143, 188, 143"
"50, 205, 50"
"0, 255, 0"
"34, 139, 34"
"0, 128, 0"
"0, 100, 0"
"127, 255, 0"
"124, 252, 0"
"173, 255, 47"
"85, 107, 47"
"245, 245, 220"
"250, 250, 210"
"255, 255, 240"
"255, 255, 224"
"255, 255, 0"
"128, 128, 0"
"189, 183, 107"
"255, 250, 205"
"238, 232, 170"
"240, 230, 140"
"255, 215, 0"
"255, 248, 220"
"218, 165, 32"
"255, 250, 240"
"253, 245, 230"
"245, 222, 179"
"255, 228, 181"
"255, 165, 0"
"255, 239, 213"
"255, 235, 205"
"255, 222, 173"
"250, 235, 215"
"210, 180, 140"
"222, 184, 135"
"255, 228, 196"
"255, 140, 0"
"250, 240, 230"
"205, 133, 63"
"255, 218, 185"
"244, 164, 96"
"210, 105, 30"
"139, 69, 19"
"255, 245, 238"
"160, 82, 45"
"255, 160, 122"
"255, 127, 80"
"255, 69, 0"
"233, 150, 122"
"255, 99, 71"
"255, 228, 225"
"250, 128, 114"
"255, 250, 250"
"240, 128, 128"
"188, 143, 143"
"205, 92, 92"
"255, 0, 0"
"165, 42, 42"
"178, 34, 34"
"139, 0, 0"
"128, 0, 0"
